docs,query,p50_ms,p95_ms,bytes_per_query,result_count,checksum
1000,s,0.074208,0.120708,151025,705,58057400
1000,set,0.042333,0.125792,49176,59,4336500
1000,settings,0.151083,0.247416,297278,59,4336500
1000,soptify,0.149708,0.172125,322616,59,4200800
1000,jane,0.048417,0.116834,78328,59,4419100
1000,316100,0.132375,0.2405,349832,295,22007000
1000,qzx7,0.048584,0.118333,79697,0,0
10000,s,0.100583,0.13225,213459,1001,103486000
10000,set,0.568542,0.744583,1226419,589,308636000
10000,settings,1.016041,1.156375,2707536,589,308636000
10000,soptify,1.067542,1.113334,2940216,589,307281300
10000,jane,0.464458,0.500042,1513736,588,308435400
10000,316100,0.345292,0.3975,1148472,1001,194815100
10000,qzx7,0.458875,0.488583,1575168,0,0
