docs,query,p50_ms,p95_ms,bytes_per_query,result_count,checksum
1000,s,0.074833,0.097542,151025,705,58057400
1000,set,0.04325,0.133917,49176,59,4336500
1000,settings,0.14425,0.156125,297225,59,4336500
1000,soptify,0.139458,0.16275,322536,59,4200800
1000,jane,0.049625,0.056292,78328,59,4419100
1000,316100,0.133042,0.244084,349832,295,22007000
1000,qzx7,0.049666,0.126375,79696,0,0
10000,s,0.097916,0.117708,213449,1001,103486000
10000,set,0.508875,0.608541,1226384,589,308636000
10000,settings,1.010083,1.05525,2707512,589,308636000
10000,soptify,1.080541,1.217125,2940192,589,307281300
10000,jane,0.477417,0.515709,1513712,588,308435400
10000,316100,0.387958,0.524167,1148496,1001,194815100
10000,qzx7,0.464834,0.495875,1575144,0,0
