docs,query,p50_ms,p95_ms,bytes_per_query,result_count,checksum
1000,s,0.078667,0.155,151025,705,58057400
1000,set,0.367667,0.515166,269314,59,4336500
1000,settings,0.201167,0.228375,472784,59,4336500
1000,soptify,0.223334,0.287584,519518,59,4200800
1000,jane,0.092334,0.171084,273712,59,4419100
1000,316100,0.215458,0.317708,550390,295,22007000
1000,qzx7,0.122042,0.133625,286880,0,0
10000,s,0.120834,0.141333,213459,1001,103486000
10000,set,0.797583,0.860541,3203088,589,308636000
10000,settings,1.704667,1.779791,4541832,589,308636000
10000,soptify,1.895417,1.950583,4957160,589,307281300
10000,jane,0.783291,0.852959,3490616,588,308435400
10000,316100,0.609959,0.654333,1848608,1001,194815100
10000,qzx7,0.795042,0.903542,3669648,0,0
