docs,query,p50_ms,p95_ms,bytes_per_query,result_count,checksum
1000,s,0.076708,0.124708,151025,705,58057400
1000,set,0.150167,0.174958,274672,59,4336500
1000,settings,0.216167,0.282792,472832,59,4336500
1000,soptify,0.190834,0.212542,515368,59,4200800
1000,jane,0.092791,0.104458,273712,59,4419100
1000,316100,0.173542,0.257709,550392,295,22007000
1000,qzx7,0.107875,0.171291,286880,0,0
10000,s,0.091458,0.128,213449,1001,103486000
10000,set,0.732292,0.824791,3203064,589,308636000
10000,settings,1.55775,1.704083,4541808,589,308636000
10000,soptify,1.688791,1.797083,4957136,589,307281300
10000,jane,0.7645,0.825958,3490592,588,308435400
10000,316100,0.4405,0.534792,1848584,1001,194815100
10000,qzx7,0.742958,0.824667,3669624,0,0
